ts_code,industry_name,trade_date,stage,action,radar_score,status_note,stage_5d_ago,stage_20d_ago,migration
801114.SI,厨卫电器,2026-05-21,退潮回避,回避,27.62395758661888,等待更多共振证据,退潮回避,退潮回避,退潮回避 -> 退潮回避
801045.SI,特钢Ⅱ,2026-05-21,退潮回避,回避,27.435728793309437,强势后质量转弱,退潮回避,潜伏观察,潜伏观察 -> 退潮回避
801125.SI,白酒Ⅱ,2026-05-21,退潮回避,回避,27.407588631075896,强势后质量转弱,退潮回避,退潮回避,退潮回避 -> 退潮回避
801018.SI,动物保健Ⅱ,2026-05-21,退潮回避,回避,27.340942665458794,等待更多共振证据,退潮回避,潜伏观察,潜伏观察 -> 退潮回避
801194.SI,保险Ⅱ,2026-05-21,退潮回避,回避,27.167710872162488,等待更多共振证据,退潮回避,退潮回避,退潮回避 -> 退潮回避
801769.SI,出版,2026-05-21,退潮回避,回避,26.823393791455526,等待更多共振证据,潜伏观察,潜伏观察,潜伏观察 -> 退潮回避
801962.SI,油服工程,2026-05-21,潜伏观察,观察验证,26.739333077316953,强势后质量转弱,潜伏观察,钝化转弱,钝化转弱 -> 潜伏观察
801017.SI,养殖业,2026-05-21,退潮回避,回避,26.722620513220093,强势后质量转弱,退潮回避,潜伏观察,潜伏观察 -> 退潮回避
801095.SI,乘用车,2026-05-21,退潮回避,回避,26.711938470728793,等待更多共振证据,退潮回避,潜伏观察,潜伏观察 -> 退潮回避
801038.SI,农化制品,2026-05-21,潜伏观察,观察验证,26.652042521103862,强势后质量转弱,潜伏观察,钝化转弱,钝化转弱 -> 潜伏观察
801993.SI,旅游及景区,2026-05-21,退潮回避,回避,26.251111111111108,等待更多共振证据,退潮回避,退潮回避,退潮回避 -> 退潮回避
801711.SI,水泥,2026-05-21,退潮回避,回避,26.09128264208909,强势后质量转弱,退潮回避,退潮回避,退潮回避 -> 退潮回避
801133.SI,饰品,2026-05-21,退潮回避,回避,26.054127410820957,强势后质量转弱,退潮回避,潜伏观察,潜伏观察 -> 退潮回避
801766.SI,影视院线,2026-05-21,退潮回避,回避,25.41753584229391,等待更多共振证据,退潮回避,潜伏观察,潜伏观察 -> 退潮回避
801183.SI,房地产服务,2026-05-21,退潮回避,回避,25.376646844792006,强势后质量转弱,潜伏观察,潜伏观察,潜伏观察 -> 退潮回避
801219.SI,酒店餐饮,2026-05-21,退潮回避,回避,24.535940860215057,财务景气有支持；强势后质量转弱,退潮回避,潜伏观察,潜伏观察 -> 退潮回避
801981.SI,个护用品,2026-05-21,退潮回避,回避,24.03806750298686,财务景气有支持；强势后质量转弱,退潮回避,潜伏观察,潜伏观察 -> 退潮回避
801994.SI,教育,2026-05-21,退潮回避,回避,23.874062126642773,等待更多共振证据,退潮回避,退潮回避,退潮回避 -> 退潮回避
801015.SI,渔业,2026-05-21,退潮回避,回避,20.55387992831541,等待更多共振证据,退潮回避,退潮回避,退潮回避 -> 退潮回避
801952.SI,焦炭Ⅱ,2026-05-21,退潮回避,回避,19.74423198794868,强势后质量转弱,退潮回避,退潮回避,退潮回避 -> 退潮回避
801044.SI,普钢,2026-05-21,退潮回避,回避,18.712082878811493,强势后质量转弱,退潮回避,潜伏观察,潜伏观察 -> 退潮回避
