ts_code,trade_date,name,open,high,low,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
801092.SI,20250227,汽车服务,515.05,523.8,504.39,514.11,0.03,0.01,21542.0,149672.0,67.77,1.92,2874941.0,6642012.0
801092.SI,20250228,汽车服务,512.51,515.71,489.22,491.04,-23.06,-4.49,20768.0,130907.0,64.69,1.84,2745968.0,6368241.0
801092.SI,20250303,汽车服务,491.49,502.13,485.79,490.79,-0.26,-0.05,15413.0,101018.0,64.64,1.83,2744531.0,6362227.0
801092.SI,20250304,汽车服务,487.02,501.53,484.45,495.37,4.58,0.93,13276.0,90332.0,65.23,1.85,2770145.0,6432534.0
801092.SI,20250305,汽车服务,494.72,503.67,485.1,497.92,2.55,0.52,16828.0,101399.0,65.61,1.86,2784432.0,6436092.0
801092.SI,20250306,汽车服务,500.46,516.8,497.14,507.69,9.77,1.96,29784.0,195688.0,66.97,1.9,2839083.0,6531076.0
801092.SI,20250307,汽车服务,504.62,512.11,497.13,501.87,-5.83,-1.15,23669.0,149411.0,66.27,1.88,2806502.0,6458594.0
801092.SI,20250310,汽车服务,503.22,514.4,499.12,505.97,4.11,0.82,17478.0,127094.0,66.78,1.9,2829460.0,6502669.0
801092.SI,20250311,汽车服务,499.43,512.29,494.35,507.97,2.0,0.39,19596.0,125042.0,67.05,1.9,2840626.0,6525582.0
801092.SI,20250312,汽车服务,510.22,522.49,507.51,512.54,4.57,0.9,24272.0,147034.0,67.69,1.92,2866181.0,6579538.0
801092.SI,20250313,汽车服务,514.58,522.74,501.98,510.66,-1.88,-0.37,23972.0,150761.0,67.49,1.92,2855688.0,6555710.0
801092.SI,20250314,汽车服务,512.44,524.29,504.93,518.45,7.79,1.52,27881.0,182222.0,68.52,1.94,2899236.0,6655328.0
801092.SI,20250317,汽车服务,522.34,535.12,511.94,522.27,3.82,0.74,32975.0,190308.0,69.05,1.96,2920971.0,6714448.0
801092.SI,20250318,汽车服务,523.11,530.53,515.39,521.22,-1.04,-0.2,25522.0,148129.0,68.86,1.95,2915127.0,6705526.0
801092.SI,20250319,汽车服务,520.02,527.88,512.34,519.19,-2.04,-0.39,19501.0,138600.0,68.59,1.95,2903743.0,6703485.0
